resource_type,owner_id,collection_type,external_id,id,name,full_name,description,attr:resultTarget,attr:Applicable Periods,ZenDesk: Year/Version,ZenDesk: Type,ZenDesk: Data Set,ZenDesk: JSON Link,ZenDesk: DATIM SqlView ID,ZenDesk: DATIM DataSet ID
Collection,PEPFAR,Code List,XDXCLF4MIUZ,HC_R_COMMUNITY_USG,HC R: Community (USG),Host Country Results: DREAMS (USG),,Result,FY23,FY23,Result,Host Country Results: DREAMS (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:XDXCLF4MIUZ,DotdxKrNZxG,XDXCLF4MIUZ
Collection,PEPFAR,Code List,kWKJQYP1uT7,PLANNING_ATTRIBUTES_COP_PRIORITIZATION_SNU,Planning Attributes: COP Prioritization SNU,Planning Attributes: COP Prioritization SNU,,Result,FY23,FY23,Result,Planning Attributes: COP Prioritization SNU,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:kWKJQYP1uT7,DotdxKrNZxG,kWKJQYP1uT7
Collection,PEPFAR,Code List,DDhwqtO9sRG,MER_T_NARRATIVES_IM,MER T: Narratives (IM),MER Targets: Narratives (IM),,Target,FY23,COP23 (FY24),Target,MER Targets: Narratives (IM),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:DDhwqtO9sRG,DotdxKrNZxG,DDhwqtO9sRG
Collection,PEPFAR,Code List,dA9C5bL44NX,MER_T_PSNU,MER T: PSNU,MER Target Setting: PSNU (Facility and Community Combined) (TARGETS),,Target,FY23,COP23 (FY24),Target,MER Target Setting: PSNU (Facility and Community Combined),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:dA9C5bL44NX,DotdxKrNZxG,dA9C5bL44NX
Collection,PEPFAR,Code List,A2GxohPT9Hw,MER_T_PSNU_DOD_ONLY,MER T: PSNU - DoD Only,MER Target Setting: PSNU (Facility and Community Combined) - DoD ONLY (TARGETS),,Target,FY23,COP23 (FY24),Target,MER Target Setting: PSNU (Facility and Community Combined) - DoD ONLY,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:A2GxohPT9Hw,DotdxKrNZxG,A2GxohPT9Hw
Collection,PEPFAR,Code List,bXkLXQDlOpI,HC_T_NARRATIVES_USG,HC T: Narratives (USG),Host Country Targets: Narratives (USG),,Target,FY23,COP23 (FY24),Target,Host Country Targets: Narratives (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:bXkLXQDlOpI,DotdxKrNZxG,bXkLXQDlOpI
Collection,PEPFAR,Code List,Q6QyaPuZ0xP,HC_T_OPERATING_UNIT_LEVEL_USG,HC T: Operating Unit Level (USG),Host Country Targets: Operating Unit Level (USG),,Target,FY23,COP23 (FY24),Target,Host Country Targets: Operating Unit Level (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:Q6QyaPuZ0xP,DotdxKrNZxG,Q6QyaPuZ0xP
Collection,PEPFAR,Code List,bKSmkDP5YTc,HC_T_COP_PRIORITIZATION_SNU_USG,HC T: COP Prioritization SNU (USG),Host Country Targets: COP Prioritization SNU (USG),,Target,FY23,COP23 (FY24),Target,Host Country Targets: COP Prioritization SNU (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:bKSmkDP5YTc,DotdxKrNZxG,bKSmkDP5YTc
Collection,PEPFAR,Code List,vpDd67HlZcT,HC_T_COMMUNITY_USG,HC T: Community (USG),Host Country Targets: DREAMS (USG),,Target,FY23,COP23 (FY24),Target,Host Country Targets: DREAMS (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:vpDd67HlZcT,DotdxKrNZxG,vpDd67HlZcT
Collection,PEPFAR,Code List,HfhTPdnRWES,MER_R_COMMUNITY_BASED_FY2022Q4,MER R: Community Based FY2022Q4,MER Results: Community Based FY2022Q4,,Result,FY22,FY22,Result,Community Based Code List,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:HfhTPdnRWES,DotdxKrNZxG,HfhTPdnRWES
Collection,PEPFAR,Code List,HrozVxNYFJy,MER_R_COMMUNITY_BASED_DOD_ONLY_FY2022Q4,MER R: Community Based - DoD ONLY FY2022Q4,MER Results: Community Based - DoD ONLY FY2022Q4,,Result,FY22,FY22,Result,Community Based - DoD ONLY Code List,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:HrozVxNYFJy,DotdxKrNZxG,HrozVxNYFJy
Collection,PEPFAR,Code List,BHlhyPmRTUY,MER_R_FACILITY_BASED_FY2022Q4,MER R: Facility Based FY2022Q4,MER Results: Facility Based FY2022Q4,,Result,FY22,FY22,Result,Facility Based Code List,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:BHlhyPmRTUY,DotdxKrNZxG,BHlhyPmRTUY
Collection,PEPFAR,Code List,GEBcXhZw0fD,MER_R_FACILITY_BASED_DOD_ONLY_FY2022Q4,MER R: Facility Based - DoD ONLY FY2022Q4,MER Results: Facility Based - DoD ONLY FY2022Q4,,Result,FY22,FY22,Result,Facility Based - DoD ONLY Code List,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:GEBcXhZw0fD,DotdxKrNZxG,GEBcXhZw0fD
Collection,PEPFAR,Code List,UzHGIQFaNeT,MER_R_OPERATING_UNIT_LEVEL_IM_FY2022Q4,MER R: Operating Unit Level (IM) FY2022Q4,MER Results: Operating Unit Level (IM) FY2022Q4,,Result,FY22,FY22,Result,Operating Unit Level (IM),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:UzHGIQFaNeT,DotdxKrNZxG,UzHGIQFaNeT
Collection,PEPFAR,Code List,n1U635S8UUe,MER_R_NARRATIVES_IM_FY2022Q4,MER R: Narratives (IM) FY2022Q4,MER Results: Narratives (IM) FY2022Q4,,Result,FY22,FY22,Result,Narratives (IM),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:n1U635S8UUe,DotdxKrNZxG,n1U635S8UUe
Collection,PEPFAR,Code List,BzhycevzJoO,HC_R_NARRATIVES_USG FY2022Q4,HC R: Narratives (USG) FY2022Q4,Host Country Results: Narratives (USG) FY2022Q4,,Result,FY22,FY22,Result,Host Country Results: Narratives (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:BzhycevzJoO,DotdxKrNZxG,BzhycevzJoO
Collection,PEPFAR,Code List,xESHbVWlfZ8,HC_R_OPERATING_UNIT_LEVEL_USG_FY2022Q4,HC R: Operating Unit Level (USG) FY2022Q4,Host Country Results: Operating Unit Level (USG) FY2022Q4,,Result,FY22,FY22,Result,Host Country Results: Operating Unit Level (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:xESHbVWlfZ8,DotdxKrNZxG,xESHbVWlfZ8
Collection,PEPFAR,Code List,IXiORiVFqIv,HC_R_COP_PRIORITIZATION_SNU_USG_FY2022Q4,HC R: COP Prioritization SNU (USG) FY2022Q4,Host Country Results: COP Prioritization SNU (USG) FY2022Q4,,Result,FY22,FY22,Result,Host Country Results: COP Prioritization SNU (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:IXiORiVFqIv,DotdxKrNZxG,IXiORiVFqIv
Collection,PEPFAR,Code List,cw2T5eAHxzW,HC_R_FACILITY_USG_FY2022Q4,HC R: Facility (USG) FY2022Q4,Host Country Results: Facility (USG) FY2022Q4,,Result,FY22,FY22,Result,Host Country Results: Facility (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:cw2T5eAHxzW,DotdxKrNZxG,cw2T5eAHxzW
Collection,PEPFAR,Code List,MGNVwVicMVm,HC_R_COMMUNITY_USG_FY2022Q4,HC R: Community (USG) FY2022Q4,Host Country Results: DREAMS (USG) FY2022Q4,,Result,FY22,FY22,Result,Host Country Results: DREAMS (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:MGNVwVicMVm,DotdxKrNZxG,MGNVwVicMVm
Collection,PEPFAR,Code List,CxMsvlKepvE,PLANNING_ATTRIBUTES_COP_PRIORITIZATION_SNU_FY2023,Planning Attributes: COP Prioritization SNU FY2023,Planning Attributes: COP Prioritization SNU FY2023,,Result,FY22,FY22,Result,Planning Attributes: COP Prioritization SNU,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:CxMsvlKepvE,DotdxKrNZxG,CxMsvlKepvE
Collection,PEPFAR,Code List,dShaNLamMjG,MER_T_NARRATIVES_IM_FY2023,MER T: Narratives (IM) FY2023,MER Targets: Narratives (IM) FY2023,,Target,FY22,"COP22
(FY23)",Target,MER Targets: Narratives (IM),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:dShaNLamMjG,DotdxKrNZxG,dShaNLamMjG
Collection,PEPFAR,Code List,iADcaCD5YXh,MER_T_PSNU_FY2023,MER T: PSNU FY2023,MER Target Setting: PSNU (Facility and Community Combined) (TARGETS) FY2023,,Target,FY22,"COP22
(FY23)",Target,MER Target Setting: PSNU (Facility and Community Combined),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:iADcaCD5YXh,DotdxKrNZxG,iADcaCD5YXh
Collection,PEPFAR,Code List,cihuwjoY5xP,MER_T_PSNU_DOD_ONLY_FY2022,MER T: PSNU - DoD Only FY2022,MER Target Setting: PSNU (Facility and Community Combined) - DoD ONLY (TARGETS) FY2022,,Target,FY22,"COP22
(FY23)",Target,MER Target Setting: PSNU (Facility and Community Combined) - DoD ONLY,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:cihuwjoY5xP,DotdxKrNZxG,cihuwjoY5xP
Collection,PEPFAR,Code List,Ia20z1mMe1t,HC_T_NARRATIVES_USG_FY2023,HC T: Narratives (USG)_FY2023,Host Country Targets: Narratives (USG)_FY2023,,Target,FY22,"COP22
(FY23)",Target,Host Country Targets: Narratives (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:Ia20z1mMe1t,DotdxKrNZxG,Ia20z1mMe1t
Collection,PEPFAR,Code List,g1VDdOTj4Jv,HC_T_OPERATING_UNIT_LEVEL_USG_FY2023,HC T: Operating Unit Level (USG) FY2023,Host Country Targets: Operating Unit Level (USG) FY2023,,Target,FY22,"COP22
(FY23)",Target,Host Country Targets: Operating Unit Level (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:g1VDdOTj4Jv,DotdxKrNZxG,g1VDdOTj4Jv
Collection,PEPFAR,Code List,J4tdiDEi08O,HC_T_COP_PRIORITIZATION_SNU_USG_FY2023,HC T: COP Prioritization SNU (USG) FY2023,Host Country Targets: COP Prioritization SNU (USG) FY2023,,Target,FY22,"COP22
(FY23)",Target,Host Country Targets: COP Prioritization SNU (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:J4tdiDEi08O,DotdxKrNZxG,J4tdiDEi08O
Collection,PEPFAR,Code List,vzhO50taykm,HC_T_COMMUNITY_USG_FY2023,HC T: Community (USG)_FY2023,Host Country Targets: DREAMS (USG) FY2023,,Target,FY22,"COP22
(FY23)",Target,Host Country Targets: DREAMS (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:vzhO50taykm,DotdxKrNZxG,vzhO50taykm
Collection,PEPFAR,Code List,TBcmmtoaCBC,MER_R_COMMUNITY_BASED_FY2021Q4,MER R: Community Based FY2021Q4,MER Results: Community Based FY2021Q4,,Result,FY21,FY21,Result,Community Based Code List,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:TBcmmtoaCBC,DotdxKrNZxG,TBcmmtoaCBC
Collection,PEPFAR,Code List,BPEyzcDb8fT,MER_R_COMMUNITY_BASED_DOD_ONLY_FY2021Q4,MER R: Community Based - DoD ONLY FY2021Q4,MER Results: Community Based - DoD ONLY FY2021Q4,,Result,FY21,FY21,Result,Community Based - DoD ONLY Code List,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:BPEyzcDb8fT,DotdxKrNZxG,BPEyzcDb8fT
Collection,PEPFAR,Code List,zL8TlPVzEBZ,MER_R_FACILITY_BASED_FY2021Q4,MER R: Facility Based FY2021Q4,MER Results: Facility Based FY2021Q4,,Result,FY21,FY21,Result,Facility Based Code List,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:zL8TlPVzEBZ,DotdxKrNZxG,zL8TlPVzEBZ
Collection,PEPFAR,Code List,em1U5x9hhXh,MER_R_FACILITY_BASED_DOD_ONLY_FY2021Q4,MER R: Facility Based - DoD ONLY FY2021Q4,MER Results: Facility Based - DoD ONLY FY2021Q4,,Result,FY21,FY21,Result,Facility Based - DoD ONLY Code List,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:em1U5x9hhXh,DotdxKrNZxG,em1U5x9hhXh
Collection,PEPFAR,Code List,e8pCA4xmEw9,MER_R_OPERATING_UNIT_LEVEL_IM_FY2021Q4,MER R: Operating Unit Level (IM) FY2021Q4,MER Results: Operating Unit Level (IM) FY2021Q4,,Result,FY21,FY21,Result,Operating Unit Level (IM),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:e8pCA4xmEw9,DotdxKrNZxG,e8pCA4xmEw9
Collection,PEPFAR,Code List,ey0IaQ5wJ0b,MER_R_NARRATIVES_IM_FY2021Q4,MER R: Narratives (IM) FY2021Q4,MER Results: Narratives (IM) FY2021Q4,,Result,FY21,FY21,Result,Narratives (IM),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:ey0IaQ5wJ0b,DotdxKrNZxG,ey0IaQ5wJ0b
Collection,PEPFAR,Code List,dMRA5AEUCxm,HC_R_NARRATIVES_USG_FY2021Q4,HC R: Narratives (USG) FY2021Q4,Host Country Results: Narratives (USG) FY2021Q4,,Result,FY21,FY21,Result,Host Country Results: Narratives (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:dMRA5AEUCxm,DotdxKrNZxG,dMRA5AEUCxm
Collection,PEPFAR,Code List,h16ZXEdqrtn,HC_R_OPERATING_UNIT_LEVEL_USG_FY2021Q4,HC R: Operating Unit Level (USG) FY2021Q4,Host Country Results: Operating Unit Level (USG) FY2021Q4,,Result,FY21,FY21,Result,Host Country Results: Operating Unit Level (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:h16ZXEdqrtn,DotdxKrNZxG,h16ZXEdqrtn
Collection,PEPFAR,Code List,xiTCzZJ2GPP,HC_R_COP_PRIORITIZATION_SNU_USG_FY2021Q4,HC R: COP Prioritization SNU (USG) FY2021Q4,Host Country Results: COP Prioritization SNU (USG) FY2021Q4,,Result,FY21,FY21,Result,Host Country Results: COP Prioritization SNU (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:xiTCzZJ2GPP,DotdxKrNZxG,xiTCzZJ2GPP
Collection,PEPFAR,Code List,FOSGngdDbZc,HC_R_FACILITY_USG_FY2021Q4,HC R: Facility (USG) FY2021Q4,Host Country Results: Facility (USG) FY2021Q4,,Result,FY21,FY21,Result,Host Country Results: Facility (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:FOSGngdDbZc,DotdxKrNZxG,FOSGngdDbZc
Collection,PEPFAR,Code List,qHyrHc4zwx4,HC_R_COMMUNITY_USG_FY2021Q4,HC R: Community (USG) FY2021Q4,Host Country Results: DREAMS (USG) FY2021Q4,,Result,FY21,FY21,Result,Host Country Results: DREAMS (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:qHyrHc4zwx4,DotdxKrNZxG,qHyrHc4zwx4
Collection,PEPFAR,Code List,EPokgbBzLhq,MER_T_NARRATIVES_IM_FY2022,MER T: Narratives (IM) FY2022,MER Targets: Narratives (IM) FY2021,,Target,FY21,COP21 (FY22),Target,MER Targets: Narratives (IM),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:EPokgbBzLhq,DotdxKrNZxG,EPokgbBzLhq
Collection,PEPFAR,Code List,YfZot37BbTm,MER_T_PSNU_FY2022,MER Target Setting: PSNU FY2022,MER Target Setting: PSNU (Facility and Community Combined) (TARGETS) FY2022,,Target,FY21,COP21 (FY22),Target,MER Target Setting: PSNU (Facility and Community Combined),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:YfZot37BbTm,DotdxKrNZxG,YfZot37BbTm
Collection,PEPFAR,Code List,cihuwjoY5xP,MER_T_PSNU_DOD_ONLY_FY2022,MER T: PSNU - DoD Only FY2022,MER Target Setting: PSNU (Facility and Community Combined) - DoD ONLY (TARGETS) FY2022,,Target,FY21,COP21 (FY22),Target,MER Target Setting: PSNU (Facility and Community Combined) - DoD ONLY,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:cihuwjoY5xP,DotdxKrNZxG,cihuwjoY5xP
Collection,PEPFAR,Code List,TIFlvgZAaqV,HC_T_NARRATIVES_USG_FY2022,HC T: Narratives (USG) FY2022,Host Country Targets: Narratives (USG) FY2022,,Target,FY21,COP21 (FY22),Target,Host Country Targets: Narratives (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:TIFlvgZAaqV,DotdxKrNZxG,TIFlvgZAaqV
Collection,PEPFAR,Code List,kyZS80bOmTC,HC_T_OPERATING_UNIT_LEVEL_USG_FY2022,HC T: Operating Unit Level (USG) FY2022,Host Country Targets: Operating Unit Level (USG) FY2022,,Target,FY21,COP21 (FY22),Target,Host Country Targets: Operating Unit Level (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:kyZS80bOmTC,DotdxKrNZxG,kyZS80bOmTC
Collection,PEPFAR,Code List,Va7TYyHraRn,HC_T_COP_PRIORITIZATION_SNU_USG_FY2022,HC T: COP Prioritization SNU (USG) FY2022,Host Country Targets: COP Prioritization SNU (USG) FY2022,,Target,FY21,COP21 (FY22),Target,Host Country Targets: COP Prioritization SNU (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:Va7TYyHraRn,DotdxKrNZxG,Va7TYyHraRn
Collection,PEPFAR,Code List,wvnouBMuLuE,HC_T_COMMUNITY_USG_FY2022,HC T: Community (USG),Host Country Targets: DREAMS (USG) FY2022,,Target,FY21,COP21 (FY22),Target,Host Country Targets: DREAMS (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:wvnouBMuLuE,DotdxKrNZxG,wvnouBMuLuE
Collection,PEPFAR,Code List,qzVASYuaIey,MER_R_COMMUNITY_BASED_FY2020Q4,MER R: Community Based FY2020Q4,MER Results: Community Based FY2020Q4,,Result,FY20,FY20,Result,Community Based Code List,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:qzVASYuaIey,DotdxKrNZxG,qzVASYuaIey
Collection,PEPFAR,Code List,BPEyzcDb8fT,MER_R_COMMUNITY_BASED_DOD_ONLY_FY2021Q4,MER R: Community Based - DoD ONLY FY2021Q4,MER Results: Community Based - DoD ONLY FY2021Q4,,Result,FY20,FY20,Result,Community Based - DoD ONLY Code List,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:BPEyzcDb8fT,DotdxKrNZxG,BPEyzcDb8fT
Collection,PEPFAR,Code List,jKdHXpBfWop,MER_R_FACILITY_BASED_FY2020Q4,MER R: Facility Based FY2020Q4,MER Results: Facility Based FY2020Q4,,Result,FY20,FY20,Result,Facility Based Code List,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:jKdHXpBfWop,DotdxKrNZxG,jKdHXpBfWop
Collection,PEPFAR,Code List,em1U5x9hhXh,MER_R_FACILITY_BASED_DOD_ONLY_FY2021Q4,MER R: Facility Based - DoD ONLY FY2021Q4,MER Results: Facility Based - DoD ONLY FY2021Q4,,Result,FY20,FY20,Result,Facility Based - DoD ONLY Code List,https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:em1U5x9hhXh,DotdxKrNZxG,em1U5x9hhXh
Collection,PEPFAR,Code List,biO64JF8Ait,MER_R_OPERATING_UNIT_LEVEL_IM_FY2020Q4,MER R: Operating Unit Level (IM) FY2020Q4,MER Results: Operating Unit Level (IM) FY2020Q4,,Result,FY20,FY20,Result,Operating Unit Level (IM),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:biO64JF8Ait,DotdxKrNZxG,biO64JF8Ait
Collection,PEPFAR,Code List,x5lMwEHWSds,MER_R_NARRATIVES_IM_FY2020Q4,MER R: Narratives (IM) FY2020Q4,MER Results: Narratives (IM) FY2020Q4,,Result,FY20,FY20,Result,Narratives (IM),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:x5lMwEHWSds,DotdxKrNZxG,x5lMwEHWSds
Collection,PEPFAR,Code List,wkdCW3M4zYT,HC_R_NARRATIVES_USG_FY2020Q4,HC R: Narratives (USG) FY2020Q4,Host Country Results: Narratives (USG) FY2020Q4,,Result,FY20,FY20,Result,Host Country Results: Narratives (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:wkdCW3M4zYT,DotdxKrNZxG,wkdCW3M4zYT
Collection,PEPFAR,Code List,aUmlPChIptc,HC_R_OPERATING_UNIT_LEVEL_USG_FY2020Q4,HC R: Operating Unit Level (USG) FY2020Q4,Host Country Results: Operating Unit Level (USG) FY2020Q4,,Result,FY20,FY20,Result,Host Country Results: Operating Unit Level (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:aUmlPChIptc,DotdxKrNZxG,aUmlPChIptc
Collection,PEPFAR,Code List,ctKXzmv2CVu,HC_R_COP_PRIORITIZATION_SNU_USG_FY2020Q4,HC R: COP Prioritization SNU (USG) FY2020Q4,Host Country Results: COP Prioritization SNU (USG) FY2020Q4,,Result,FY20,FY20,Result,Host Country Results: COP Prioritization SNU (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:ctKXzmv2CVu,DotdxKrNZxG,ctKXzmv2CVu
Collection,PEPFAR,Code List,OXs3gB3RqtO,HC_R_FACILITY_USG_FY2020Q4,HC R: Facility (USG) FY2020Q4,Host Country Results: Facility (USG) FY2020Q4,,Result,FY20,FY20,Result,Host Country Results: Facility (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:OXs3gB3RqtO,DotdxKrNZxG,OXs3gB3RqtO
Collection,PEPFAR,Code List,mbdbMiLZ4AA,HC_R_COMMUNITY_USG_FY2020Q4,HC R: Community (USG) FY2020Q4,Host Country Results: DREAMS (USG) FY2020Q4,,Result,FY20,FY20,Result,Host Country Results: DREAMS (USG),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:mbdbMiLZ4AA,DotdxKrNZxG,mbdbMiLZ4AA
Collection,PEPFAR,Code List,OzNbT46cSnx,MER_T_NARRATIVES_IM_FY2021,MER T: Narratives (IM) FY2021,MER Targets: Narratives (IM) FY2021,,Target,FY20,COP20 (FY21),Target,MER Targets: Narratives (IM),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:OzNbT46cSnx,DotdxKrNZxG,OzNbT46cSnx
Collection,PEPFAR,Code List,Pmc0yYAIi1t,MER_T_PSNU_FY2021,MER Target Setting: PSNU FY2021,MER Target Setting: PSNU (Facility and Community Combined) (TARGETS) FY2021,,Target,FY20,COP20 (FY21),Target,MER Target Setting: PSNU (Facility and Community Combined),https://www.datim.org/api/sqlViews/DotdxKrNZxG/data.json?var=dataSets:Pmc0yYAIi1t,DotdxKrNZxG,Pmc0yYAIi1t
